Artikelnummer;Name;Einheit;Preis
2392;Sway 50% * Neon Pink;3;15,00
2403;Sway 50% * Purple;3;15,00
2397;Sway 50% * Vanilla;3;15,00
2400;Sway 50% * White;3;15,00
1508;Tray A6 * Black;6;15,00
1506;Tray A6 * Coral;6;15,00
1505;Tray A6 * Lilac;6;15,00
1501;Tray A6 * Mint;6;15,00
6281;Tray A6 * Pink;6;15,00
6280;Tray A6 * Purple;6;15,00
1507;Tray A6 * White;6;15,00
6282;Tray A6 * Yellow;6;15,00
1000;Versandkosten;1;14,90
1772;Hole Tray A5 Black;3;14,00
1776;Hole Tray A5 Cosmic Coral;3;14,00
1775;Hole Tray A5 Cosmic Violet;3;14,00
2017;Hole Tray A5 Lilac;3;14,00
1773;Hole Tray A5 Mint;3;14,00
1777;Hole Tray A5 Pink;3;14,00
2015;Hole Tray A5 White;3;14,00
2016;Hole Tray A5 Yellow;3;14,00
1933;x;6;14,00
2089;x;6;14,00
6114;Dip Dye Swirl - Passion Island;6;12,00
6215;Dip Dye Swirl * Ballett Slippers;6;12,00
6208;Dip Dye Swirl * Blushing Amber;6;12,00
6210;Dip Dye Swirl * Cha Cha Cha;6;12,00
6212;Dip Dye Swirl * Cocktail Fusion;6;12,00
2206;Dip Dye Swirl * Crystal Lagoon;6;12,00
6205;Dip Dye Swirl * Eclectic Pouf;6;12,00
6209;Dip Dye Swirl * Elegant Dinner;6;12,00
6137;Dip Dye Swirl * Flamingo Wedding;6;12,00
6207;Dip Dye Swirl * Golden Hour;6;12,00
6214;Dip Dye Swirl * Happy Place;6;12,00
6138;Dip Dye Swirl * Lollipop Flowers;6;12,00
2205;Dip Dye Swirl * Prism Blossom;6;12,00
6213;Dip Dye Swirl * Snowflake;6;12,00
1335;Dip Dye Swirl * Spicy Umbrella;6;12,00
2204;Dip Dye Swirl * Spring Candy;6;12,00
1336;Dip Dye Swirl * Starless Whisper;6;12,00
6206;Dip Dye Swirl * Sunset Disco;6;12,00
2107;Dip Dye Swirl * Surprise Bungalow;6;12,00
1337;Dip Dye Swirl * Topsy Turvy;6;12,00
6136;Dip Dye Swirl * Valentine Promise;6;12,00
6211;Dip Dye Swirl * Vibrant Matcha;6;12,00
1334;Dip Dye Swirl * Yummy Dragonfruit;6;12,00
1592;GC Candleholder * Cube S;6;12,00
6256;Dip Dye  Silver * Foggy Haze;6;10,00
6204;Dip Dye Bling-Bling * Baby it´s cold outside;6;10,00
6200;Dip Dye Bling-Bling * Real love;6;10,00
6202;Dip Dye Bling-Bling * Red lights;6;10,00
6201;Dip Dye Bling-Bling * Something magical;6;10,00
6230;Dip Dye Copper * Moody Reflections;6;10,00
6238;Dip Dye Copper * Sweater Weather;6;10,00
2209;Dip Dye Eggs - Orange Candies;6;10,00
2208;Dip Dye Eggs - Pink Candies;6;10,00
2207;Dip Dye Eggs - Rainbow Candies;6;10,00
